# Chess clock game — 2026-06-06 13:31:00 UTC
# Mode: HOURGLASS  White: 30s+0  Black: 30s+0
# TIMESTAMP (UTC)             EVENT       PLAYER  WHITE_REMAINING  BLACK_REMAINING
2026-06-06T13:31:00.696Z      start       WHITE          0:30.000         0:30.000
2026-06-06T13:31:00.696Z      pause       WHITE          0:30.000         0:30.000
2026-06-06T13:31:09.010Z      resume      WHITE          0:30.000         0:30.000
2026-06-06T13:31:09.010Z      switch      BLACK          0:30.000         0:30.000
2026-06-06T13:31:15.973Z      switch      WHITE          0:36.962         0:23.038
2026-06-06T13:31:20.747Z      switch      BLACK          0:32.189         0:27.811
2026-06-06T13:31:26.202Z      switch      WHITE          0:37.644         0:22.356
2026-06-06T13:31:33.948Z      switch      BLACK          0:29.899         0:30.101
2026-06-06T13:31:38.458Z      switch      WHITE          0:34.408         0:25.592
2026-06-06T13:31:43.845Z      switch      BLACK          0:29.022         0:30.978
2026-06-06T13:31:52.699Z      switch      WHITE          0:37.875         0:22.125
2026-06-06T13:31:59.335Z      switch      BLACK          0:31.239         0:28.761
2026-06-06T13:32:06.929Z      switch      WHITE          0:38.832         0:21.168
2026-06-06T13:32:13.840Z      switch      BLACK          0:31.921         0:28.079
2026-06-06T13:32:24.016Z      switch      WHITE          0:42.096         0:17.904
2026-06-06T13:32:31.434Z      switch      BLACK          0:34.679         0:25.321
2026-06-06T13:32:36.257Z      switch      WHITE          0:39.502         0:20.498
2026-06-06T13:32:48.650Z      switch      BLACK          0:27.109         0:32.891
2026-06-06T13:32:54.189Z      switch      WHITE          0:32.647         0:27.353
2026-06-06T13:32:58.752Z      switch      BLACK          0:28.084         0:31.916
2026-06-06T13:33:06.674Z      switch      WHITE          0:36.005         0:23.995
2026-06-06T13:33:15.096Z      switch      BLACK          0:27.583         0:32.417
2026-06-06T13:33:21.799Z      switch      WHITE          0:34.285         0:25.715
2026-06-06T13:33:29.539Z      switch      BLACK          0:26.545         0:33.455
2026-06-06T13:33:36.085Z      switch      WHITE          0:33.090         0:26.910
2026-06-06T13:33:50.714Z      switch      BLACK          0:18.462         0:41.538
2026-06-06T13:33:58.246Z      switch      WHITE          0:25.994         0:34.006
2026-06-06T13:34:08.201Z      switch      BLACK          0:16.040         0:43.960
2026-06-06T13:34:16.586Z      switch      WHITE          0:24.425         0:35.575
2026-06-06T13:34:23.850Z      switch      BLACK          0:17.162         0:42.838
2026-06-06T13:34:34.423Z      switch      WHITE          0:27.734         0:32.266
2026-06-06T13:34:41.580Z      switch      BLACK          0:20.578         0:39.422
2026-06-06T13:34:49.615Z      switch      WHITE          0:28.613         0:31.387
2026-06-06T13:34:54.677Z      switch      BLACK          0:23.552         0:36.448
2026-06-06T13:35:00.726Z      switch      WHITE          0:29.601         0:30.399
2026-06-06T13:35:06.645Z      switch      BLACK          0:23.683         0:36.317
2026-06-06T13:35:11.410Z      switch      WHITE          0:28.447         0:31.553
2026-06-06T13:35:21.883Z      switch      BLACK          0:17.974         0:42.026
2026-06-06T13:35:35.686Z      switch      WHITE          0:31.776         0:28.224
2026-06-06T13:35:44.040Z      switch      BLACK          0:23.422         0:36.578
2026-06-06T13:35:50.801Z      switch      WHITE          0:30.182         0:29.818
2026-06-06T13:35:57.219Z      switch      BLACK          0:23.765         0:36.235
2026-06-06T13:36:10.498Z      switch      WHITE          0:37.044         0:22.956
2026-06-06T13:36:16.950Z      switch      BLACK          0:30.593         0:29.407
2026-06-06T13:36:23.523Z      switch      WHITE          0:37.165         0:22.835
2026-06-06T13:36:41.045Z      switch      BLACK          0:19.644         0:40.356
2026-06-06T13:36:45.421Z      switch      WHITE          0:24.020         0:35.980
2026-06-06T13:37:09.468Z      flag        WHITE          0:00.000         1:00.000
